Year Month,Postal Code,Customer Class,Total Gallons
2012/04,78751,Multi-Family,12844000
2012/04,78752,Irrigation - Multi-Family,63900
2012/04,78752,Multi-Family,20013900
2012/04,78752,Residential,12251100
2012/04,78753,Irrigation - Residential,0
2012/04,78753,Irrigation - Multi-Family,2333700
2012/04,78753,Multi-Family,50779500
2012/04,78753,Residential,42914500
2012/04,78754,Irrigation - Multi-Family,1253400
2012/04,78754,Residential,20999000
2012/04,78754,Irrigation - Residential,0
2012/04,78754,Multi-Family,11735400
2012/04,78756,Irrigation - Residential,7200
2012/04,78756,Multi-Family,5331700
2012/04,78756,Residential,10685500
2012/04,78756,Irrigation - Multi-Family,56300
2012/04,78757,Irrigation - Multi-Family,36500
2012/04,78757,Irrigation - Residential,59400
2012/04,78757,Residential,32372600
2012/04,78757,Multi-Family,13153000
2012/04,78758,Irrigation - Multi-Family,1733700
2012/04,78758,Irrigation - Residential,2500
2012/04,78758,Residential,41629500
2012/04,78758,Multi-Family,40331900
2012/04,78759,Residential,62786600
2012/04,78759,Irrigation - Multi-Family,552100
2012/04,78759,Multi-Family,35997000
2012/04,78759,Irrigation - Residential,63600
2012/05,78613,Irrigation - Multi-Family,58000
2012/05,78613,Multi-Family,18500
2012/05,78617,Multi-Family,2785000
2012/05,78617,Residential,21013700
2012/05,78652,Irrigation - Residential,47200
2012/05,78652,Residential,908900
2012/05,78652,Multi-Family,19400
2012/05,78653,Multi-Family,109000
2012/05,78653,Residential,1201800
2012/05,78660,Irrigation - Residential,14200
2012/05,78660,Multi-Family,150300
2012/05,78660,Residential,8730500
2012/05,78701,Multi-Family,13290500
2012/05,78701,Irrigation - Multi-Family,285900
2012/05,78701,Residential,1404000
2012/05,78702,Multi-Family,9412900
2012/05,78702,Residential,29305900
2012/05,78702,Irrigation - Multi-Family,711800
2012/05,78702,Irrigation - Residential,33500
2012/05,78703,Irrigation - Residential,1701700
2012/05,78703,Multi-Family,13314200
2012/05,78703,Residential,65726400
2012/05,78703,Irrigation - Multi-Family,542100
2012/05,78704,Irrigation - Multi-Family,1991800
2012/05,78704,Multi-Family,49476300
2012/05,78704,Residential,55223600
2012/05,78704,Irrigation - Residential,258400
2018/11,78741,Multi-Family,69588300
2012/05,78705,Irrigation - Multi-Family,459500
2012/05,78705,Multi-Family,33131000
2012/05,78705,Irrigation - Residential,81700
2012/05,78705,Residential,12355500
2012/05,78712,Residential,0
2012/05,78717,Residential,43627000
2012/05,78717,Irrigation - Residential,19400
2012/05,78717,Multi-Family,7593800
2012/05,78717,Irrigation - Multi-Family,3196400
2012/05,78719,Multi-Family,583300
2012/05,78719,Residential,1830400
2012/05,78721,Multi-Family,4452300
2012/05,78721,Irrigation - Multi-Family,235000
2012/05,78721,Irrigation - Residential,8000
